"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14"
"1";23,3333333333333;16;26;17,3333333333333;27,3333333333333;24;11,3333333333333;19,3333333333333;20,6666666666667;24;6,66666666666667;24,6666666666667;9,33333333333333;12
"2";24,051282051282;16,4923076923077;26,8;17,8666666666667;15,1179487179487;33,6717948717949;24,7384615384615;13,0564102564103;15,8051282051282;15,1179487179487;17,8666666666667;15,8051282051282;15,1179487179487;15,8051282051282
"3";24,1752577319588;16,5773195876289;26,9381443298969;17,9587628865979;22,7938144329897;25,5567010309278;13,1237113402062;16,5773195876289;20,7216494845361;24,1752577319588;27,6288659793814;11,0515463917526;15,8865979381443;24,8659793814433
"4";23,6868686868687;16,2424242424242;26,3939393939394;17,5959595959596;25,040404040404;25,040404040404;16,2424242424242;21,6565656565657;22,3333333333333;20,3030303030303;14,2121212121212;6,76767676767677;9,47474747474747;14,8888888888889
"5";19,1428571428571;24,1804511278195;24,6842105263158;16,1203007518797;27,7067669172932;22,1654135338346;20,1503759398496;28,2105263157895;15,6165413533835;11,5864661654135;24,1804511278195;17,1278195488722;19,6466165413534;23,1729323308271
"6";19,4351145038168;24,5496183206107;25,0610687022901;16,3664122137405;24,0381679389313;24,5496183206107;28,1297709923664;18,412213740458;25,0610687022901;20,4580152671756;11,2519083969466;26,0839694656489;19,4351145038168;18,9236641221374
"7";19,4351145038168;24,5496183206107;25,0610687022901;16,3664122137405;23,0152671755725;25,5725190839695;19,4351145038168;17,3893129770992;17,9007633587786;26,0839694656489;15,3435114503817;11,763358778626;16,3664122137405;17,9007633587786
"8";18,9293680297398;23,910780669145;24,4089219330855;15,9405204460967;22,9144981412639;27,8959107806691;18,9293680297398;18,4312267657993;23,910780669145;16,9368029739777;19,9256505576208;22,9144981412639;16,4386617100372;17,9330855018587
"9";24,7004608294931;29,0230414746544;16,6728110599078;19,1428571428571;29,6405529953917;14,8202764976959;24,7004608294931;21,6129032258065;11,1152073732719;16,0552995391705;20,9953917050691;17,2903225806452;19,1428571428571;24,7004608294931
"10";24,2533936651584;28,4977375565611;16,3710407239819;18,7963800904977;25,4660633484163;20,6153846153846;14,552036199095;17,5837104072398;19,4027149321267;17,5837104072398;12,7330316742081;16,3710407239819;10,3076923076923;12,1266968325792
"11";25,0467289719626;29,4299065420561;16,9065420560748;19,411214953271;26,9252336448598;16,2803738317757;22,5420560747664;14,4018691588785;17,5327102803738;15,0280373831776;9,39252336448598;15,0280373831776;11,2710280373832;11,8971962616822
"12";23,6123348017621;27,7444933920705;15,9383259911894;18,2995594713656;27,1541850220264;21,2511013215859;13,5770925110132;21,2511013215859;11,215859030837;15,9383259911894;9,44493392070484;6,49339207048458;4,13215859030837;5,90308370044053
"13";21,9579831932773;16,327731092437;21,3949579831933;28,7142857142857;20,2689075630252;25,3361344537815;16,890756302521;14,0756302521008;11,8235294117647;17,453781512605;23,0840336134454;18,5798319327731;22,5210084033613;16,327731092437
"14";22,1440677966102;16,4661016949153;21,5762711864407;28,9576271186441;25,5508474576271;19,3050847457627;21,5762711864407;19,8728813559322;11,9237288135593;17,0338983050847;16,4661016949153;6,8135593220339;18,7372881355932;9,65254237288135
"15";20,8207171314741;15,4820717131474;20,2868525896414;27,2270916334661;24,5577689243028;25,6254980079681;27,2270916334661;21,8884462151394;14,9482071713147;16,0159362549801;17,0836653386454;18,1513944223108;10,1434262948207;13,3466135458167
"16";23,1238938053097;17,1946902654867;22,5309734513274;30,2389380530973;21,3451327433628;19,5663716814159;15,4159292035398;11,858407079646;16,0088495575221;6,52212389380531;13,6371681415929;11,858407079646;7,11504424778761;8,89380530973451
"17";26,1656804733728;30,1301775147929;27,7514792899408;11,8934911242604;20,6153846153846;17,4437869822485;18,2366863905325;22,9940828402367;13,4792899408284;18,2366863905325;11,8934911242604;16,6508875739645;15,0650887573964;29,3372781065089
"18";24,4309392265193;28,1325966850829;25,9116022099447;11,1049723756906;24,4309392265193;19,9889502762431;17,767955801105;15,5469613259668;8,88397790055248;11,1049723756906;11,8453038674033;14,0662983425414;8,88397790055248;7,40331491712707
"19";25,4137931034483;29,264367816092;26,9540229885057;11,551724137931;22,3333333333333;18,4827586206897;21,5632183908046;10,7816091954023;25,4137931034483;16,9425287356322;19,2528735632184;17,7126436781609;6,16091954022988;6,93103448275862
"20";24,2967032967033;27,978021978022;25,7692307692308;11,043956043956;18,4065934065934;26,5054945054945;11,7802197802198;16,9340659340659;5,89010989010989;15,4615384615385;16,9340659340659;12,5164835164835;8,0989010989011;0,736263736263736
